Product ID,Category,Sub Category,Product Name,Supplier ID
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,14175
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",69890
OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,68532
FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,94500
OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,80451
FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",79148
OFF-AR-10002833,Office Supplies,Art,Newell 322,83186
TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,59160
OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,79071
OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,31874
FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,83583
TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,64120
OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,49357
OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,82708
OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",76142
OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,52562
OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",93638
OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,67108
OFF-AR-10003056,Office Supplies,Art,Newell 341,99425
TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,64705
OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",42305
OFF-AR-10000246,Office Supplies,Art,Newell 318,54424
OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",69678
FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",73393
OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,35596
TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,23398
FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",29002
OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,59369
FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",33702
OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,78927
OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",80646
OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",50863
OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,69340
